Johnson & Johnson Medical GmbH	Robert Koch Strasse 1, D 22851 Norderstedt, Germany	QSD5057		DE	英商壯生和壯生(香港)股份有限公司台灣分公司	Y	2015-12-03	
ConvaTec Inc.	211 American Avenue, Greensboro, North Carolina 27409, U.S.A.	QSD3884	Occlusive wound/burn dressing等8項。	US	新加坡商康威特股份有限公司台灣分公司	Y	2016-09-12	
Advanced Bionics, LLC	12740 San Fernando Road, Sylmar, CA 91342, U.S.A.	QSD3889	Cochlear Implant等乙項。	US	開綸生物科技股份有限公司	Y	2016-03-14	
Tama Seiki, Ltd.	790 Utsuki-machi, Hachioji-shi, Tokyo 192-0024, Japan	QSD3891	Immunonephelometer Equipment	JP	輝生貿易有限公司	Y	2016-09-26	
3M Canada Company	1840 Oxford St. East, London, Ontario, N5V 3R6, Canada	QSD3893	Sterilization Process Indicator等乙項。	CA	台灣明尼蘇達礦業製造股份有限公司	Y	2016-09-28	
JMS Singapore Pte Ltd.	440 Ang Mo Kio Industrial Park 1, Singapore 569620, Singapore	QSD3895	Blood access device and accessories等乙項。	SG	敦運生醫科技股份有限公司	Y	2016-09-28	
Alcon Grieshaber AG	Winkelriedstrasse 52, 8203 Schaffhausen, Switzerland	QSD3896	Manual Ophthalmic Surgical Instrument	CH	瑞士商愛爾康大藥廠股份有限公司台灣分公司	Y	2016-10-16	
Alcon Grieshaber AG	Winkelriedstrasse 52, 8203 Schaffhausen, Switzerland	QSD3896	Vitreous Aspiration and Cutting Instrument	CH	瑞士商愛爾康大藥廠股份有限公司台灣分公司	Y	2016-10-16	
Alcon Grieshaber AG	Winkelriedstrasse 52, 8203 Schaffhausen, Switzerland	QSD3896	Ocular Surgery Irrigation Device(Non-Sterile)	CH	瑞士商愛爾康大藥廠股份有限公司台灣分公司	Y	2016-10-16	
Alcon Grieshaber AG	Winkelriedstrasse 52, 8203 Schaffhausen, Switzerland	QSD3896	Diagnostic Hruby Fundus Lens	CH	瑞士商愛爾康大藥廠股份有限公司台灣分公司	Y	2016-10-16	
Alcon Grieshaber AG	Winkelriedstrasse 52, 8203 Schaffhausen, Switzerland	QSD3896	Phacofragmentation System等5項。	CH	瑞士商愛爾康大藥廠股份有限公司台灣分公司	Y	2016-10-16	
Meridian AG	Bierigut-strasse 7, CH-3608 Thun, Switzerland	QSD3900	Nd: YAG Laser for Posterior Capsulotomy	CH	永欣儀器有限公司	Y	2016-09-28	
Meridian AG	Bierigut-strasse 7, CH-3608 Thun, Switzerland	QSD3900	Ophthalmic Photocoagulator等2項。	CH	永欣儀器有限公司	Y	2016-09-28	
Hospira Costa Rica Ltd.	1 km Noreste del Centro Comercial Real Cariari, Zona Franca Global, La Aurora de Heredia, Costa Rica	QSD3906	Administration Sets	CR	新加坡商赫士睿股份有限公司台灣分公司	Y	2016-04-28	
Hospira Costa Rica Ltd.	1 km Noreste del Centro Comercial Real Cariari, Zona Franca Global, La Aurora de Heredia, Costa Rica	QSD3906	Measurement and Monitoring Device of Intracompartmental Fluid Pressure	CR	新加坡商赫士睿股份有限公司台灣分公司	Y	2016-04-28	
Hospira Costa Rica Ltd.	1 km Noreste del Centro Comercial Real Cariari, Zona Franca Global, La Aurora de Heredia, Costa Rica	QSD3906	Measurement and Monitoring Device of Intravascular Blood Pressure	CR	新加坡商赫士睿股份有限公司台灣分公司	Y	2016-04-28	
Hospira Costa Rica Ltd.	1 km Noreste del Centro Comercial Real Cariari, Zona Franca Global, La Aurora de Heredia, Costa Rica	QSD3906	Infusion pump, Spare Parts and Accessories	CR	新加坡商赫士睿股份有限公司台灣分公司	Y	2016-04-28	
Hospira Costa Rica Ltd.	1 km Noreste del Centro Comercial Real Cariari, Zona Franca Global, La Aurora de Heredia, Costa Rica	QSD3906	Patients Control Analgesia Pump, Spare Parts and Accessories等5項。	CR	新加坡商赫士睿股份有限公司台灣分公司	Y	2016-04-28	
Vietnam Kao Medical Instrument MFG. Co., Ltd.	Pho Co, Song Cong Town, Thai Nguyen Province, Vietnam	QSD3909	Acupuncture Needle等乙項。	VN	高氏國際有限公司	Y	2016-09-29	
Pollogen Ltd.	6 Kaufman Street, Gibor House, P.O. Box 50320, 68012 Tel Aviv, Israel	QSD3916	Electrosurgical Cutting and Coagulation Device and Accessories	IL	億鑫國際股份有限公司	Y	2016-10-04	
Pollogen Ltd.	6 Kaufman Street, Gibor House, P.O. Box 50320, 68012 Tel Aviv, Israel	QSD3916	Powered Muscle Stimulator等2項。	IL	億鑫國際股份有限公司	Y	2016-10-04	
Streck	7002 South 109th Street, Omaha, NE 68128, U.S.A.	QSD3922	Hematology quality control mixture	US	三東儀器股份有限公司	Y	2016-10-08	
Streck	7002 South 109th Street, Omaha, NE 68128, U.S.A.	QSD3922	Calibrator for cell indices	US	三東儀器股份有限公司	Y	2016-10-08	
Streck	7002 South 109th Street, Omaha, NE 68128, U.S.A.	QSD3922	Calibrator for red cell and white cell counting	US	三東儀器股份有限公司	Y	2016-10-08	
Streck	7002 South 109th Street, Omaha, NE 68128, U.S.A.	QSD3922	Quality control material (assayed and unassayed)等4項。	US	三東儀器股份有限公司	Y	2016-10-08	
Pascal Company, Inc.	2929 Ne Northup Way, Bellevue, WA98004-1430, U.S.A.	QSD3931	Retraction Cord	US	傑基興業股份有限公司	Y	2016-10-19	
Pascal Company, Inc.	2929 Ne Northup Way, Bellevue, WA98004-1430, U.S.A.	QSD3931	Articulation Paper(Non-Sterile)	US	傑基興業股份有限公司	Y	2016-10-19	
Pascal Company, Inc.	2929 Ne Northup Way, Bellevue, WA98004-1430, U.S.A.	QSD3931	Cavity Varnish	US	傑基興業股份有限公司	Y	2016-10-19	
Pascal Company, Inc.	2929 Ne Northup Way, Bellevue, WA98004-1430, U.S.A.	QSD3931	Oral Cavity Abrasive Polishing Agent(Non-Sterile)等4項。	US	傑基興業股份有限公司	Y	2016-10-19	
CryoLife, Inc.	1655 Roberts Blvd, NW, Kennesaw, GA 30144, U.S.A.	QSD3934	Arteries Surgical Glue	US	連鎰有限公司	Y	2016-10-18	
PT.NSS INDONESIA	Blok A-II No.29 ST4A, Kawasan Berikat Besland Pertiwi, Kota Bukit Indah, Purwakarta 41181,Indonesia	QSD3935	Noninvasive Blood Pressure Measurement System等乙項。	ID	台灣寶赫曼企業有限公司	Y	2016-10-24	
Medizintechnik Promedt GmbH	Kleiner Moorweg 4, D-25436 Tornesch, Germany	QSD3939	Orthokin II Set等乙項。	DE	妮亞科技國際有限公司	Y	2016-10-19	
ICU Medical, Inc.	4455 Atherton Drive Salt Lake City, UT 84123, U.S.A.	QSD3943	Diagnostic Intravascular Catheter	US	台灣佳事達醫療用品有限公司	Y	2016-10-25	
ICU Medical, Inc.	4455 Atherton Drive Salt Lake City, UT 84123, U.S.A.	QSD3943	Flow-Directed Catheter	US	台灣佳事達醫療用品有限公司	Y	2016-10-25	
ICU Medical, Inc.	4455 Atherton Drive Salt Lake City, UT 84123, U.S.A.	QSD3943	Intracranial Pressure Monitoring Device	US	台灣佳事達醫療用品有限公司	Y	2016-10-25	
ICU Medical, Inc.	4455 Atherton Drive Salt Lake City, UT 84123, U.S.A.	QSD3943	Extravascular Blood Pressure Transducer等4項。	US	台灣佳事達醫療用品有限公司	Y	2016-10-25	
Medtronic Navigation Inc.	826 Coal Creek Circle, Louisville, CO 80027, U.S.A.	QSD3944	Stereotaxic Instrument	US	美敦力醫療產品股份有限公司	Y	2016-10-24	
Medtronic Navigation Inc.	826 Coal Creek Circle, Louisville, CO 80027, U.S.A.	QSD3944	Picture Archiving and Communication System	US	美敦力醫療產品股份有限公司	Y	2016-10-24	
Medtronic Navigation Inc.	826 Coal Creek Circle, Louisville, CO 80027, U.S.A.	QSD3944	Manual Surgical Instrument for General Use	US	美敦力醫療產品股份有限公司	Y	2016-10-24	
Medtronic Navigation Inc.	826 Coal Creek Circle, Louisville, CO 80027, U.S.A.	QSD3944	Magnetic Resonance Diagnostic Device等4項。	US	美敦力醫療產品股份有限公司	Y	2016-10-24	
Fresenius Medical Care North America	475 West 13th Street Ogden, UT 84404 U.S.A.	QSD3948	High Permeability Hemodialysis System等乙項。	US	台灣費森尤斯醫藥股份有限公司	Y	2016-10-26	
Adoderm GmbH	Elisabeth-Selbert-Strasse 5, 40764 Langenfeld, Germany	QSD3950	Hyaluronic Based Dermatological Facial Reconstructive Filling Material等乙項。	DE	達慶醫療儀器有限公司	Y	2016-10-30	
Haemonetics Corporation	400 Wood Road, Braintree, Massachusetts 02184, U.S.A.	QSD3953	Therapeutic Plasma Exchange Set	US	美商良衛股份有限公司台灣分公司	Y	2016-11-01	
Haemonetics Corporation	400 Wood Road, Braintree, Massachusetts 02184, U.S.A.	QSD3953	Platelet/Plasma/PBSC Disposable Set	US	美商良衛股份有限公司台灣分公司	Y	2016-11-01	
Haemonetics Corporation	400 Wood Road, Braintree, Massachusetts 02184, U.S.A.	QSD3953	Plasma Collection System	US	美商良衛股份有限公司台灣分公司	Y	2016-11-01	
Haemonetics Corporation	400 Wood Road, Braintree, Massachusetts 02184, U.S.A.	QSD3953	Autotransfusion Apparatus	US	美商良衛股份有限公司台灣分公司	Y	2016-11-01	
Haemonetics Corporation	400 Wood Road, Braintree, Massachusetts 02184, U.S.A.	QSD3953	Plasma Collection Set	US	美商良衛股份有限公司台灣分公司	Y	2016-11-01	
Haemonetics Corporation	400 Wood Road, Braintree, Massachusetts 02184, U.S.A.	QSD3953	Multi Component System	US	美商良衛股份有限公司台灣分公司	Y	2016-11-01	
Haemonetics Corporation	400 Wood Road, Braintree, Massachusetts 02184, U.S.A.	QSD3953	Automated Cell Processor	US	美商良衛股份有限公司台灣分公司	Y	2016-11-01	
Haemonetics Corporation	400 Wood Road, Braintree, Massachusetts 02184, U.S.A.	QSD3953	Automated Cell Processor Disposable Set	US	美商良衛股份有限公司台灣分公司	Y	2016-11-01	
Haemonetics Corporation	400 Wood Road, Braintree, Massachusetts 02184, U.S.A.	QSD3953	Powered Suction Pump	US	美商良衛股份有限公司台灣分公司	Y	2016-11-01	
Haemonetics Corporation	400 Wood Road, Braintree, Massachusetts 02184, U.S.A.	QSD3953	Automated Blood Collection System	US	美商良衛股份有限公司台灣分公司	Y	2016-11-01	
Haemonetics Corporation	400 Wood Road, Braintree, Massachusetts 02184, U.S.A.	QSD3953	RBC Disposable Set等11項。	US	美商良衛股份有限公司台灣分公司	Y	2016-11-01	
bioMérieux, Inc.	595 Anglum Road, Hazelwood, MO 63042 U.S.A.	QSD3956	Quality control material (assayed and unassayed)	US	香港商生物梅里埃有限公司台灣分公司	Y	2016-11-05	
bioMérieux, Inc.	595 Anglum Road, Hazelwood, MO 63042 U.S.A.	QSD3956	Colorimeter, photometer, or spectrophotometer for clinical use	US	香港商生物梅里埃有限公司台灣分公司	Y	2016-11-05	
bioMérieux, Inc.	595 Anglum Road, Hazelwood, MO 63042 U.S.A.	QSD3956	Nephelometer for clinical use	US	香港商生物梅里埃有限公司台灣分公司	Y	2016-11-05	
bioMérieux, Inc.	595 Anglum Road, Hazelwood, MO 63042 U.S.A.	QSD3956	Antimicrobial susceptibility test powder	US	香港商生物梅里埃有限公司台灣分公司	Y	2016-11-05	
bioMérieux, Inc.	595 Anglum Road, Hazelwood, MO 63042 U.S.A.	QSD3956	System, test, automated, anti-microbial susceptibility, short incubation	US	香港商生物梅里埃有限公司台灣分公司	Y	2016-11-05	
bioMérieux, Inc.	595 Anglum Road, Hazelwood, MO 63042 U.S.A.	QSD3956	Microtiter diluting and dispensing device	US	香港商生物梅里埃有限公司台灣分公司	Y	2016-11-05	
bioMérieux, Inc.	595 Anglum Road, Hazelwood, MO 63042 U.S.A.	QSD3956	Microbial growth monitor	US	香港商生物梅里埃有限公司台灣分公司	Y	2016-11-05	
bioMérieux, Inc.	595 Anglum Road, Hazelwood, MO 63042 U.S.A.	QSD3956	Microorganism differentiation and identification device 等8項。	US	香港商生物梅里埃有限公司台灣分公司	Y	2016-11-05	
Gentec(Shanghai) Corporation	No.1988 Yushu Road, Songjiang District 201600, Shanghai, China	QSD3958	Compensated Thorpe Tube Flowmeter(Non-Sterile)	CN	輝盛工業股份有限公司	Y	2016-11-13	
Gentec(Shanghai) Corporation	No.1988 Yushu Road, Songjiang District 201600, Shanghai, China	QSD3958	Gas Pressure Gauge(Non-Sterile)	CN	輝盛工業股份有限公司	Y	2016-11-13	
Gentec(Shanghai) Corporation	No.1988 Yushu Road, Songjiang District 201600, Shanghai, China	QSD3958	Pressure Ragulator(Non-Sterile)	CN	輝盛工業股份有限公司	Y	2016-11-13	
Gentec(Shanghai) Corporation	No.1988 Yushu Road, Songjiang District 201600, Shanghai, China	QSD3958	Pressure Tubing and Accessories(Non-Sterile)	CN	輝盛工業股份有限公司	Y	2016-11-13	
Gentec(Shanghai) Corporation	No.1988 Yushu Road, Songjiang District 201600, Shanghai, China	QSD3958	Medical Gas Yoke Assembly(Non-Sterile)	CN	輝盛工業股份有限公司	Y	2016-11-13	
Gentec(Shanghai) Corporation	No.1988 Yushu Road, Songjiang District 201600, Shanghai, China	QSD3958	Vacuum-Powered Body Fluid Suction Apparatus(Non-Sterile)	CN	輝盛工業股份有限公司	Y	2016-11-13	
Gentec(Shanghai) Corporation	No.1988 Yushu Road, Songjiang District 201600, Shanghai, China	QSD3958	Respiratory Gas Humidifier	CN	輝盛工業股份有限公司	Y	2016-11-13	
Gentec(Shanghai) Corporation	No.1988 Yushu Road, Songjiang District 201600, Shanghai, China	QSD3958	Bourdon Gauge Flowmeter(Non-Sterile)	CN	輝盛工業股份有限公司	Y	2016-11-13	
NeuroLogica Corporation	14 Electronics Avenue, Danvers, MA 01923-1011, U.S.A.	QSD3959	X-ray Computed Tomography Scanner System等乙項。	US	上鉅實業股份有限公司	Y	2016-11-05	
Zimmer Spine, Inc.	7375 Bush Lake Road, Minneapolis, MN55439, U.S.A.	QSD3965	Spinal Intervertebral Body Fixation Orthosis	US	台灣捷邁醫療器材股份有限公司	Y	2016-11-06	
Zimmer Spine, Inc.	7375 Bush Lake Road, Minneapolis, MN55439, U.S.A.	QSD3965	Pedicle Screw Spinal System	US	台灣捷邁醫療器材股份有限公司	Y	2016-11-06	
Zimmer Spine, Inc.	7375 Bush Lake Road, Minneapolis, MN55439, U.S.A.	QSD3965	Intervertebral Body Fusion Device	US	台灣捷邁醫療器材股份有限公司	Y	2016-11-06	
Zimmer Spine, Inc.	7375 Bush Lake Road, Minneapolis, MN55439, U.S.A.	QSD3965	Orthopedic Manual Surgical Instrument(Non-Sterile)等4項。	US	台灣捷邁醫療器材股份有限公司	Y	2016-11-06	
Okamoto Rubber Products Co., Ltd.	60/50 Moo 19 Navanakorn Industrial Estate Zone 2, Klongluang, Pathumthani 12120, Thailand	QSD3973	Condom等乙項。	TH	傳悅國際有限公司	Y	2016-11-15	
Krell Precision(Yang Zhou) Co., Ltd.	No.28, Xingyang Road, Economic Development Zone, Yangzhou, Jiangsu 225009, China	QSD3977	Body Fat Monitor/ Scale等乙項。	CN	啟德電子股份有限公司	Y	2016-11-19	
Terumo Medical Products(Hangzhou) Co., Ltd.	M4-9-5 HETZ, 310018 Hangzhou, China	QSD3981	Urological Catheter and Accessories	CN	日商泰爾茂股份有限公司台北分公司	Y	2016-11-26	
Terumo Medical Products(Hangzhou) Co., Ltd.	M4-9-5 HETZ, 310018 Hangzhou, China	QSD3981	Intravascular Administration Set	CN	日商泰爾茂股份有限公司台北分公司	Y	2016-11-26	
Terumo Medical Products(Hangzhou) Co., Ltd.	M4-9-5 HETZ, 310018 Hangzhou, China	QSD3981	Tracheobronchial Suction Catheter	CN	日商泰爾茂股份有限公司台北分公司	Y	2016-11-26	
Terumo Medical Products(Hangzhou) Co., Ltd.	M4-9-5 HETZ, 310018 Hangzhou, China	QSD3981	Gastrointestinal Tube and Accessories	CN	日商泰爾茂股份有限公司台北分公司	Y	2016-11-26	
Terumo Medical Products(Hangzhou) Co., Ltd.	M4-9-5 HETZ, 310018 Hangzhou, China	QSD3981	I.V. Container	CN	日商泰爾茂股份有限公司台北分公司	Y	2016-11-26	
Terumo Medical Products(Hangzhou) Co., Ltd.	M4-9-5 HETZ, 310018 Hangzhou, China	QSD3981	Intravascular Catheter	CN	日商泰爾茂股份有限公司台北分公司	Y	2016-11-26	
Terumo Medical Products(Hangzhou) Co., Ltd.	M4-9-5 HETZ, 310018 Hangzhou, China	QSD3981	Peritoneal Dialysis System and Accessories	CN	日商泰爾茂股份有限公司台北分公司	Y	2016-11-26	
Terumo Medical Products(Hangzhou) Co., Ltd.	M4-9-5 HETZ, 310018 Hangzhou, China	QSD3981	Nasal Oxygen Cathete	CN	日商泰爾茂股份有限公司台北分公司	Y	2016-11-26	
Terumo Medical Products(Hangzhou) Co., Ltd.	M4-9-5 HETZ, 310018 Hangzhou, China	QSD3981	Clinical Electronic Thermometer	CN	日商泰爾茂股份有限公司台北分公司	Y	2016-11-26	
Terumo Medical Products(Hangzhou) Co., Ltd.	M4-9-5 HETZ, 310018 Hangzhou, China	QSD3981	Noninvasive Blood Pressure Measurement System	CN	日商泰爾茂股份有限公司台北分公司	Y	2016-11-26	
Terumo Medical Products(Hangzhou) Co., Ltd.	M4-9-5 HETZ, 310018 Hangzhou, China	QSD3981	Hypodermic Single Lumen Needle等11項。	CN	日商泰爾茂股份有限公司台北分公司	Y	2016-11-26	
Anthogyr SAS	2237, Avenue Andre Lasquin, 74700 Sallanches, France	QSD3987	Endosseous Implant	FR	軒亮股份有限公司	Y	2016-12-03	
Anthogyr SAS	2237, Avenue Andre Lasquin, 74700 Sallanches, France	QSD3987	Endosseous Dental Implant Accessories(Non-Sterile)	FR	軒亮股份有限公司	Y	2016-12-03	
Zimmer Trabecular Metal Technology, Inc.	10 Pomeroy Road, Parsippany, NJ 07054, U.S.A.	QSD3989	Knee Joint Patello Femorotibial Polymer/Metal/Polymer Semi-constrained Cemented Prosthesis	US	台灣捷邁醫療器材股份有限公司	Y	2016-12-04	
Zimmer Trabecular Metal Technology, Inc.	10 Pomeroy Road, Parsippany, NJ 07054, U.S.A.	QSD3989	Knee Joint Patello Femorotibial Metal/Polymer Porous-coated Uncemented Prosthesis	US	台灣捷邁醫療器材股份有限公司	Y	2016-12-04	
Zimmer Trabecular Metal Technology, Inc.	10 Pomeroy Road, Parsippany, NJ 07054, U.S.A.	QSD3989	Single/Multiple Component Metallic Bone Fixation Appliance and Accessories	US	台灣捷邁醫療器材股份有限公司	Y	2016-12-04	
Zimmer Trabecular Metal Technology, Inc.	10 Pomeroy Road, Parsippany, NJ 07054, U.S.A.	QSD3989	Hip Joint Metal/Polymer Semi-constrained Cemented Prosthesis	US	台灣捷邁醫療器材股份有限公司	Y	2016-12-04	
Zimmer Trabecular Metal Technology, Inc.	10 Pomeroy Road, Parsippany, NJ 07054, U.S.A.	QSD3989	Hip Joint Metal/Polymer/Metal Semi-Constrained Porous-Coated Uncemented Prosthesis	US	台灣捷邁醫療器材股份有限公司	Y	2016-12-04	
Zimmer Trabecular Metal Technology, Inc.	10 Pomeroy Road, Parsippany, NJ 07054, U.S.A.	QSD3989	Spinal Intervertebral Body Fixation Orthosis	US	台灣捷邁醫療器材股份有限公司	Y	2016-12-04	
Zimmer Trabecular Metal Technology, Inc.	10 Pomeroy Road, Parsippany, NJ 07054, U.S.A.	QSD3989	Shoulder Joint Metal/Polymer Non-constrained Cemented Prosthesis	US	台灣捷邁醫療器材股份有限公司	Y	2016-12-04	
Zimmer Trabecular Metal Technology, Inc.	10 Pomeroy Road, Parsippany, NJ 07054, U.S.A.	QSD3989	Shoulder Joint Metal/Polymer Semi-Constrained Cemented Prosthesis	US	台灣捷邁醫療器材股份有限公司	Y	2016-12-04	
Zimmer Trabecular Metal Technology, Inc.	10 Pomeroy Road, Parsippany, NJ 07054, U.S.A.	QSD3989	Orthopedic Manual Surgical Instrument	US	台灣捷邁醫療器材股份有限公司	Y	2016-12-04	
Zimmer Trabecular Metal Technology, Inc.	10 Pomeroy Road, Parsippany, NJ 07054, U.S.A.	QSD3989	Intervertebral Body Fusion Device等10項。	US	台灣捷邁醫療器材股份有限公司	Y	2016-12-04	
HTL Strefa S.A.	Ul. Adamowek 7, 95-035 Ozorkow, Poland	QSD3992	Manual surgical instrument for general use等乙項。	PL	台灣拜耳股份有限公司	Y	2016-12-12	
Masimo Corporation	40 Parker Irvine, CA 92618, U.S.A.	QSD3997	Pulse Oximetry, Pulse CO-Oximetry and Accessories	US	信興欣業股份有限公司	Y	2017-04-16	
Masimo Corporation	40 Parker Irvine, CA 92618, U.S.A.	QSD3997	Telemetric Physiologic Monitoring System	US	信興欣業股份有限公司	Y	2017-04-16	
Masimo Corporation	40 Parker Irvine, CA 92618, U.S.A.	QSD3997	Respiratory Monitors and Accessories	US	信興欣業股份有限公司	Y	2017-04-16	
Lumenis Ltd.	Yokneam Industrial Park, P.O. Box240, Yokneam2069204, Israel	QSD4001	Laser Surgical Instrument for Use in General and Plastic Surgery and in Dermatology	IL	香港商科醫人激光有限公司台灣分公司	Y	2016-12-19	
Lumenis Ltd.	Yokneam Industrial Park, P.O. Box240, Yokneam2069204, Israel	QSD4001	Eletrodurgical Cutting and Coagulation Device and Accessories等2項。	IL	香港商科醫人激光有限公司台灣分公司	Y	2016-12-19	
Stryker Spine SA	Le Crêt-du-Locle 10a, CH2300 La-Chaux-de-Fonds, Switzerland	QSD4002	Single/Multiple Component Metallic Bone Fixation Appliance and Accessories	CH	美商史賽克(遠東)有限公司台灣分公司	Y	2016-12-19	
Beckman Coulter Inc.	11800 S.W. 147th Avenue Miami, FL 33196, USA	QSD4005	Automated Differential Cell Counter	US	美商貝克曼庫爾特有限公司台灣分公司	Y	2016-12-24	
Lumenis Inc.	3959  West 1820 South, Salt Lake City, UT 84104, U.S.A.	QSD4009	Laser surgical instrument for use in general and plastic surgery and dermatology and accessories	US	香港商科醫人激光有限公司台灣分公司	Y	2016-12-27	
Lumenis Inc.	3959  West 1820 South, Salt Lake City, UT 84104, U.S.A.	QSD4009	Ophthalmic laser and accessories	US	香港商科醫人激光有限公司台灣分公司	Y	2016-12-27	
Lumenis Inc.	3959  West 1820 South, Salt Lake City, UT 84104, U.S.A.	QSD4009	AC-powered slitlamp biomicroscope等3項。	US	香港商科醫人激光有限公司台灣分公司	Y	2016-12-27	
Topcon Medical Laser Systems, Inc.	3130 Coronado Drive, Santa Clara, CA 95054, U.S.A.	QSD4015	Ophthalmic Photocoagulator等乙項。	US	科林儀器股份有限公司	Y	2016-12-27	
Mylan Institutional	Coill Rua, Inverin, County Galway, Ireland	QSD4019	Sterile Sodium Hyaluronate Solution等乙項。	IE	禾利行股份有限公司	Y	2016-12-27	
Medtronic Fabrication S.A.S.	Zone Industrielle Sud, Route d'Anor, 59610 Fourmies, France	QSD4036	Cardiovascular Temporary Pacemaker Electrode等乙項。	FR	美敦力醫療產品股份有限公司	Y	2017-01-22	
Top Glove Sdn. Bhd.	Lot 4969, Jalan Teratai Batu 6, Off Jalan Meru, 41050 Klang, Selangor D.E., Malaysia	QSD4037	Patient examination glove(non-sterile)等乙項。	MY	宏春貿易有限公司	Y	2017-01-22	
LARS	5 rue de la Fontaine 21560 Arc sur Tille, France	QSD4043	Artificial Ligaments	FR	威泰醫療器材股份有限公司	Y	2017-01-28	
LARS	5 rue de la Fontaine 21560 Arc sur Tille, France	QSD4043	Ligamentories Clips and Screws(Non-Sterile)	FR	威泰醫療器材股份有限公司	Y	2017-01-28	
LARS	5 rue de la Fontaine 21560 Arc sur Tille, France	QSD4043	Orthopedic Manual Surgical Instrument(Non-Sterile)等3項。	FR	威泰醫療器材股份有限公司	Y	2017-01-28	
Acumed LLC.	5885 NW Cornelius Pass Road, Hillsboro, OR 97124, U.S.A.	QSD4048	Smooth or Threaded Metallic Bone Fixation Fastener(Pin, Peg, Screw)(Non-Sterile)	US	韶田股份有限公司	Y	2017-02-12	
Acumed LLC.	5885 NW Cornelius Pass Road, Hillsboro, OR 97124, U.S.A.	QSD4048	Single/ Multiple Component Metallic Bone Fixation Appliance and Accessories	US	韶田股份有限公司	Y	2017-02-12	
Acumed LLC.	5885 NW Cornelius Pass Road, Hillsboro, OR 97124, U.S.A.	QSD4048	Orthopedic Manual Surgical Instrument(Non-Sterile)	US	韶田股份有限公司	Y	2017-02-12	
Acumed LLC.	5885 NW Cornelius Pass Road, Hillsboro, OR 97124, U.S.A.	QSD4048	Intramedullary Fixation Rod	US	韶田股份有限公司	Y	2017-02-12	
Acumed LLC.	5885 NW Cornelius Pass Road, Hillsboro, OR 97124, U.S.A.	QSD4048	Elbow Joint Radial(Hemi-Elbow) Polymer Prosthesis	US	韶田股份有限公司	Y	2017-02-12	
Acumed LLC.	5885 NW Cornelius Pass Road, Hillsboro, OR 97124, U.S.A.	QSD4048	Smooth or Threaded Metallic Bone Fixation Fastener(Screw)(Sterile)	US	韶田股份有限公司	Y	2017-02-12	
Acumed LLC.	5885 NW Cornelius Pass Road, Hillsboro, OR 97124, U.S.A.	QSD4048	Bone Fixation Cerclage	US	韶田股份有限公司	Y	2017-02-12	
Acumed LLC.	5885 NW Cornelius Pass Road, Hillsboro, OR 97124, U.S.A.	QSD4048	Shoulder Joint Humeral(Hemi-Shoulder) Metallic Uncemented Prosthesis等8項。	US	韶田股份有限公司	Y	2017-02-12	
AGFA Healthcare N.V.	Septestraat 27, B-2640 Mortsel, Belgium	QSD4050	Picture Archiving and Communication System	BE	台灣愛克發醫療設備股份有限公司	Y	2016-01-07	
AGFA Healthcare N.V.	Septestraat 27, B-2640 Mortsel, Belgium	QSD4050	Stationary X-Ray System等2項。	BE	台灣愛克發醫療設備股份有限公司	Y	2016-01-07	
Ophtecs Corporation Toyooka Factory	26 Kamiyoshidai, Toyooka, Hyogo, 668-0831, Japan	QSD4054	Rigid Gas Permeable Contact Lens Care Products	JP	優立得國際有限公司	Y	2017-02-19	
Alcon Research, Ltd.	6065 Kyle Lane, Huntington, WV25702-9795, U.S.A.	QSD4059	Intraocular Lens	US	瑞士商愛爾康大藥廠股份有限公司台灣分公司	Y	2017-02-27	
Ortho-Clinical Diagnostics, Inc.	1001 U.S. Highway 202, Raritan, New Jersey 08869, U.S.A	QSD4062	Low Ion Strength Solution	US	英商壯生和壯生香港股份有限公司台灣分公司	Y	2017-02-26	
Ortho-Clinical Diagnostics, Inc.	1001 U.S. Highway 202, Raritan, New Jersey 08869, U.S.A	QSD4062	Anti-serum	US	英商壯生和壯生香港股份有限公司台灣分公司	Y	2017-02-26	
Ortho-Clinical Diagnostics, Inc.	1001 U.S. Highway 202, Raritan, New Jersey 08869, U.S.A	QSD4062	Blood Cell Diluent	US	英商壯生和壯生香港股份有限公司台灣分公司	Y	2017-02-26	
Ortho-Clinical Diagnostics, Inc.	1001 U.S. Highway 202, Raritan, New Jersey 08869, U.S.A	QSD4062	Blood Grouping Reagent	US	英商壯生和壯生香港股份有限公司台灣分公司	Y	2017-02-26	
Ortho-Clinical Diagnostics, Inc.	1001 U.S. Highway 202, Raritan, New Jersey 08869, U.S.A	QSD4062	Blood Antibody and Complement Test Reagent	US	英商壯生和壯生香港股份有限公司台灣分公司	Y	2017-02-26	
Ortho-Clinical Diagnostics, Inc.	1001 U.S. Highway 202, Raritan, New Jersey 08869, U.S.A	QSD4062	Reagent Red Blood Cells for Blood Grouping	US	英商壯生和壯生香港股份有限公司台灣分公司	Y	2017-02-26	
Ortho-Clinical Diagnostics, Inc.	1001 U.S. Highway 202, Raritan, New Jersey 08869, U.S.A	QSD4062	Reagent Red Blood Cells for Antibody Testing	US	英商壯生和壯生香港股份有限公司台灣分公司	Y	2017-02-26	
